Model,Accuracy,Loss,Precision,Recall,F1-Score
MobileNetV2,0.9922630786895752,0.04348189756274223,0.9923477204355312,0.9922432469491291,0.992262897428575
DenseNet121,0.9887814521789551,0.07500937581062317,0.9889236072845039,0.9887240210769623,0.9886974218029687
SqueezeNet,0.8920696377754211,0.3168805241584778,0.8954093929487296,0.8913018843901197,0.890263183558292
VGG16,0.8874274492263794,0.7489001750946045,0.8917789777444352,0.8872564935064936,0.8852851209261723
EfficientNetB0_TL,0.029013538733124733,3.525278329849243,0.000853339401524633,0.029411764705882353,0.0016585581601061476
